Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog?
Manchester City,19,2,1171,1331,88,22183,5996,482,523,92.2,519,561,92.5,155,207,74.9,3,2.9,0.1,21,120,31,2,102
Liverpool,17,2,900,1092,82.4,18782,6363,329,367,89.6,410,469,87.4,156,232,67.2,4,4,0,34,75,29,7,97
Chelsea,17,2,1234,1380,89.4,22014,6211,551,586,94,517,556,93,131,182,72,3,3,0,24,92,37,7,94
Wolves,16,2,802,966,83,17958,5283,254,287,88.5,361,408,88.5,183,243,75.3,0,2.2,-2.2,32,58,18,5,78
Aston Villa,18,2,689,867,79.5,14812,4959,228,264,86.4,330,374,88.2,125,210,59.5,2,0.6,1.4,13,63,16,3,74
Leeds United,16,2,903,1086,83.1,17959,5495,344,390,88.2,411,443,92.8,136,222,61.3,3,1.6,1.4,20,52,15,6,74
Manchester Utd,15,2,801,978,81.9,15429,5200,342,394,86.8,338,386,87.6,107,164,65.2,6,2.7,3.3,25,60,23,3,73
Arsenal,17,2,808,960,84.2,14788,4534,348,380,91.6,341,382,89.3,100,165,60.6,0,1.7,-1.7,25,57,27,6,73
Watford,16,2,631,808,78.1,13802,4764,186,219,84.9,323,377,85.7,118,189,62.4,2,1.6,0.4,19,45,13,1,67
Brighton,15,2,975,1172,83.2,19156,5334,349,382,91.4,490,542,90.4,120,203,59.1,4,1.7,2.3,21,46,17,3,59
Everton,16,2,460,662,69.5,9755,3839,174,205,84.9,187,228,82,83,184,45.1,4,3.2,0.8,24,39,16,6,57
Brentford,16,2,493,728,67.7,9792,3823,212,258,82.2,191,242,78.9,80,188,42.6,1,1.6,-0.6,17,45,14,2,49
Tottenham,16,2,532,698,76.2,10346,4183,236,261,90.4,215,264,81.4,69,143,48.3,1,1.4,-0.4,16,39,10,0,45
Southampton,16,2,508,737,68.9,9546,3293,219,260,84.2,213,282,75.5,65,157,41.4,1,1.4,-0.4,10,35,8,3,45
West Ham,14,1,420,514,81.7,8363,2596,163,180,90.6,188,216,87,62,98,63.3,3,1.8,1.2,12,34,10,1,42
Burnley,15,2,416,622,66.9,9045,3817,174,214,81.3,141,183,77,91,198,46,1,1.4,-0.4,17,45,13,7,39
Crystal Palace,15,2,726,903,80.4,14217,4550,291,338,86.1,311,357,87.1,109,178,61.2,0,0.9,-0.9,10,30,13,4,39
Newcastle Utd,17,2,649,823,78.9,13396,4012,231,259,89.2,306,356,86,104,188,55.3,2,1.7,0.3,20,47,15,8,36
Norwich City,16,2,772,920,83.9,15139,4529,308,337,91.4,332,356,93.3,114,195,58.5,0,1,-1,11,32,5,3,30
Leicester City,14,1,527,610,86.4,9974,2928,185,209,88.5,285,308,92.5,53,83,63.9,1,0.7,0.3,8,19,9,1,28
