Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
2017-2018,19,Newport County,eng ENG,4. League Two,11th,41.6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,20,Brighton,eng ENG,Jr. PL2 ƒ?? Div. 1,3rd,4.8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,20,P'borough Utd,eng ENG,3. League One,7th,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2019-2020,21,Leeds United,eng ENG,2. Championship,1st,46,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2020-2021,22,Brighton,eng ENG,1. Premier League,16th,35.5,2064,201,939,999,270,28,1990,24,41,58.5,31,0,1376,7068,3793,108,37,1,11,15,1465,1403,95.8,18,Matches
2021-2022,23,Arsenal,eng ENG,1. Premier League,17th,1,69,7,30,48,1,0,67,0,0,,0,0,44,261,111,0,0,0,2,0,45,45,100,0,Matches
6 Seasons,,5 Clubs,,4 Leagues,,138.1,2133,208,969,1047,271,28,2057,24,41,58.5,31,0,1420,7329,3904,108,37,1,13,15,1510,1448,95.9,18,
Brighton (3 Seasons),,,,2 Leagues,,35.5,2064,201,939,999,270,28,1990,24,41,58.5,31,0,1376,7068,3793,108,37,1,11,15,1465,1403,95.8,18,
Leeds United (1 Season),,,,1 League,,46,,,,,,,,,,,,,,,,,,,,,,,,,
Newport County (1 Season),,,,1 League,,41.6,,,,,,,,,,,,,,,,,,,,,,,,,
P'borough Utd (1 Season),,,,1 League,,14,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton (1 Season),,,,1 League,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal (1 Season),,,,1 League,,1,69,7,30,48,1,0,67,0,0,,0,0,44,261,111,0,0,0,2,0,45,45,100,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,36.5,2133,208,969,1047,271,28,2057,24,41,58.5,31,0,1420,7329,3904,108,37,1,13,15,1510,1448,95.9,18,
Championship (2 Seasons),,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,
League Two (1 Season),,,,,,41.6,,,,,,,,,,,,,,,,,,,,,,,,,
League One (1 Season),,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
PL2 ƒ?? Div. 1 (1 Season),,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
